      Common Core of Data Public Education Agency Universe 1992-93
                            (LRECL=1030)
            
	     (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation) 
                                    
The file contains  data for school year 1992-93 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size          Description
IUK10U92   AN  973-973          1            D/O UNKN RACE-10TH-UNKN SEX ADJ FLAG
IAM11M92   AN  974-974          1            D/O AMER IND/ALAS NAT-11TH-MALE ADJ FLAG
IAM11F92   AN  975-975          1            D/O AMER IND/ALAS NAT-11TH-FEMALE ADJ FLAG
IAM11U92   AN  976-976          1            D/O AMER IND/ALAS NAT-11TH-UNKN ADJ FLAG
IAS11M92   AN  977-977          1            D/O ASIAN/PAC ISL-11TH-MALE ADJ FLAG
IAS11F92   AN  978-978          1            D/O ASIAN/PAC ISL-11TH-FEMALE ADJ FLAG
IAS11U92   AN  979-979          1            D/O ASIAN/PAC ISL-11TH-UNKN ADJ FLAG
IHI11M92   AN  980-980          1            D/O HISPANIC-11TH-MALE ADJ FLAG
IHI11F92   AN  981-981          1            D/O HISPANIC-11TH-FEMALE ADJ FLAG
IHI11U92   AN  982-982          1            D/O HISPANIC-11TH-UNKN ADJ FLAG
IBL11M92   AN  983-983          1            D/O BLACK-11TH-MALE ADJ FLAG
IBL11F92   AN  984-984          1            D/O BLACK-11TH-FEMALE ADJ FLAG
IBL11U92   AN  985-985          1            D/O BLACK-11TH-UNKN ADJ FLAG
IWH11M92   AN  986-986          1            D/O WHITE-11TH-MALE ADJ FLAG
IWH11F92   AN  987-987          1            D/O WHITE-11TH-FEMALE ADJ FLAG
IWH11U92   AN  988-988          1            D/O WHITE-11TH-UNKN ADJ FLAG
IUK11M92   AN  989-989          1            D/O UNKN RACE-11TH-MALE ADJ FLAG
IUK11F92   AN  990-990          1            D/O UNKN RACE-11TH-FEMALE ADJ FLAG
IUK11U92   AN  991-991          1            D/O UNKN RACE-11TH-UNKN SEX ADJ FLAG
IAM12M92   AN  992-992          1            D/O AMER IND/ALAS NAT-12TH-MALE ADJ FLAG
IAM12F92   AN  993-993          1            D/O AMER IND/ALAS NAT-12TH-FEMALE ADJ FLAG
IAM12U92   AN  994-994          1            D/O AMER IND/ALAS NAT-12TH-UNKN ADJ FLAG
IAS12M92   AN  995-995          1            D/O ASIAN/PAC ISL-12TH-MALE ADJ FLAG
IAS12F92   AN  996-996          1            D/O ASIAN/PAC ISL-12TH-FEMALE ADJ FLAG
IAS12U92   AN  997-997          1            D/O ASIAN/PAC ISL-12TH-UNKN ADJ FLAG
IHI12M92   AN  998-998          1            D/O HISPANIC-12TH-MALE ADJ FLAG
IHI12F92   AN  999-999          1            D/O HISPANIC-12TH-FEMALE ADJ FLAG
IHI12U92   AN  1000-1000        1            D/O HISPANIC-12TH-UNKN ADJ FLAG
IBL12M92   AN  1001-1001        1            D/O BLACK-12TH-MALE ADJ FLAG
IBL12F92   AN  1002-1002        1            D/O BLACK-12TH-FEMALE ADJ FLAG
IBL12U92   AN  1003-1003        1            D/O BLACK-12TH-UNKN ADJ FLAG
IWH12M92   AN  1004-1004        1            D/O WHITE-12TH-MALE ADJ FLAG
IWH12F92   AN  1005-1005        1            D/O WHITE-12TH-FEMALE ADJ FLAG
IWH12U92   AN  1006-1006        1            D/O WHITE-12TH-UNKN ADJ FLAG
IUK12M92   AN  1007-1007        1            D/O UNKN RACE-12TH-MALE ADJ FLAG
IUK12F92   AN  1008-1008        1            D/O UNKN RACE-12TH-FEMALE ADJ FLAG
IUK12U92   AN  1009-1009        1            D/O UNKN RACE-12TH-UNKN SEX ADJ FLAG
IPKTCH92   AN  1010-1010        1            PREKINDERGARTEN TEACHERS ADJ FLAG
IKGTCH92   AN  1011-1011        1            KINDERGARTEN TEACHERS ADJ FLAG
IELTCH92   AN  1012-1012        1            ELEMENTARY TEACHERS ADJ FLAG
ISETCH92   AN  1013-1013        1            SECONDARY TEACHERS ADJ FLAG
IUGTCH92   AN  1014-1014        1            UNGRADED TEACHERS ADJ FLAG
ITOTCH92   AN  1015-1015        1            TOTAL FTE TEACHERS ADJ FLAG
IAIDES92   AN  1016-1016        1            INSTRUCTIONAL AIDES ADJ FLAG
ICOSUP92   AN  1017-1017        1            INSTRUCT COORDINATORS/SUPER ADJ FLAG
IELGUI92   AN  1018-1018        1            ELEMENTARY GUIDANCE COUNSELOR ADJ FLAG
ISEGUI92   AN  1019-1019        1            SECONDARY GUIDANCE COUNSELOR ADJ FLAG
ITOGUI92   AN  1020-1020        1            TOTAL GUIDANCE COUNSELOR ADJ FLAG
ILISPE92   AN  1021-1021        1            LIBRARIAN/MEDIA SPECIALIST ADJ FLAG
ILISUP92   AN  1022-1022        1            LIBRARY MEDIA SUPPORT STAFF ADJ FLAG
ILEADM92   AN  1023-1023        1            LEA ADMINISTRATOR ADJ FLAG
ILESUP92   AN  1024-1024        1            LEA ADMIN SUPPORT STAFF ADJ FLAG
ISCADM92   AN  1025-1025        1            SCHOOL ADMIN ADJ FLAG
ISCSUP92   AN  1026-1026        1            SCHOOL ADMIN SUPPORT STAFF ADJ FLAG
ISTSUP92   AN  1027-1027        1            STUDENT SUPPORT SERV STAFF ADJ FLAG
IOTSUP92   AN  1028-1028        1            ALL OTHER SUPPORT STAFF ADJ FLAG
ISCH92     AN  1029-1029        1            NUMBER OF SCHOOLS ADJ FLAG
ITEACH92   AN  1030-1030        1            NUMBER OF TEACHERS ADJ FLAG

