"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","WH09","HP10","HP11","HP12","HP09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"4816230","481623005441",0,0,1,24,64,92,3,0,0,1,30,52,85,2,0,0,2,24,41,70,3,1,0,1,20,62,86,2,0,0,0,0,184,170,140,172,666,243,21,264,264
"4816230","481623005444",1,1,3,20,68,95,2,1,1,2,18,66,94,6,0,1,2,18,64,86,1,3,0,0,21,70,106,12,0,0,0,0,190,188,172,212,762,283,22,305,305
"4816230","481623005865",2,0,11,6,23,67,24,0,0,9,3,23,67,31,0,0,20,10,17,61,14,1,0,8,8,25,66,24,1,1,0,0,134,134,122,132,522,85,11,96,96
"4816230","481623006391",0,0,0,11,8,25,6,0,0,0,5,4,16,7,0,0,0,0,1,1,0,1,0,1,7,10,26,7,0,0,0,0,50,32,2,52,136,41,0,41,41
"4816230","481623006532",0,0,0,8,52,61,1,0,0,2,7,44,57,4,0,0,1,7,49,58,1,0,0,0,9,50,61,2,0,0,0,0,122,114,116,122,474,188,8,196,196
"4816230","481623006930",0,0,0,8,14,24,2,0,0,0,4,11,16,1,0,0,0,2,4,7,1,0,1,0,11,35,49,2,0,0,0,0,48,32,14,98,192,68,4,72,72
"4816230","481623006965",0,0,0,4,1,5,0,0,0,0,3,0,3,0,0,0,0,2,0,2,0,1,0,0,1,1,3,0,0,0,0,0,10,6,4,6,26,14,0,14,14
"4816230","481623007565",1,0,1,9,544,556,1,0,1,1,20,509,535,4,1,0,1,12,407,425,4,0,1,2,16,583,607,5,0,0,0,0,1112,1070,850,1214,4246,1905,98,2003,2003
"4816230","481623010560",1,0,49,67,169,293,7,1,1,53,42,159,262,6,0,1,48,44,126,223,4,4,0,98,103,272,492,15,0,0,0,0,586,524,446,984,2540,1126,14,1140,1140
"4816230","481623010561",0,0,1,5,55,68,7,0,0,2,9,52,65,2,0,0,2,16,48,70,4,1,0,1,9,51,68,6,0,0,0,0,136,130,140,136,542,200,28,228,228
