"LEAID","NCESSCH","TYPE99","STATUS99","FTE99","FRELCH99","REDLCH99","TOTFRL99","MIGRNT99","MEMBER99","G0999","G1099","G1199","G1299","ASIAN99","HISP99","BLACK99","WHITE99","TOTETH99","PUPTCH99","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"3620580","362058001930","1","1",121.7,505,0,505,NA,2636,1093,583,401,331,82,329,2127,92,2636,21.7,"1",3,34,146,882,28,1,19,67,479,17,0,17,37,335,12,0,9,36,269,17
"3620580","362058001932","1","1",41.9,237,0,237,NA,253,NA,NA,NA,NA,2,107,125,13,253,6,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001934","3","1",58.3,534,0,534,NA,1044,408,313,84,163,19,566,436,23,1044,17.9,"1",0,12,234,155,7,0,5,163,136,9,0,0,42,41,1,0,2,91,68,2
"3620580","362058001935","1","1",162.8,2872,0,2872,NA,3529,1462,931,449,336,303,1670,1099,443,3529,21.7,"1",4,107,746,419,186,5,100,428,270,128,1,51,202,144,51,1,39,127,122,47
"3620580","362058001937","1","1",99.7,1046,0,1046,NA,1912,594,530,294,386,30,198,1667,12,1912,19.2,"1",2,12,65,509,6,2,8,58,458,4,0,7,22,264,1,1,3,32,349,1
"3620580","362058001939","1","1",119.2,481,0,481,NA,2464,823,650,501,332,92,555,824,976,2464,20.7,"1",4,26,215,280,298,2,23,146,233,246,4,23,88,153,233,6,18,60,76,172
"3620580","362058001940","1","1",215.4,3348,0,3348,NA,4198,1157,1241,727,713,211,2383,1483,109,4198,19.5,"1",4,44,686,393,30,1,64,715,428,33,2,49,393,274,9,5,50,357,281,20
"3620580","362058001941","3","1",72.1,1040,0,1040,NA,1334,508,320,297,86,21,284,1016,11,1334,18.5,"1",2,8,98,395,5,0,3,75,240,2,0,6,67,222,2,0,3,17,66,0
"3620580","362058001943","1","1",208.4,703,0,703,NA,3773,1203,935,661,709,579,485,856,1837,3773,18.1,"1",2,204,162,308,527,6,131,114,198,486,6,105,78,112,360,1,116,69,128,395
"3620580","362058001946","1","1",122.7,1865,0,1865,NA,3390,1680,852,274,325,76,1341,1928,35,3390,27.6,"1",2,33,729,891,25,3,20,292,533,4,0,7,102,163,2,3,13,93,215,1
"3620580","362058001947","1","1",191.8,1664,0,1664,NA,3561,1272,1135,441,497,1092,1027,176,1261,3561,18.6,"1",1,413,408,67,383,2,418,291,41,383,0,117,103,20,201,2,119,126,29,221
"3620580","362058001948","1","1",71.2,1052,0,1052,NA,1451,535,345,196,202,35,402,976,30,1451,20.4,"1",0,12,150,363,10,3,6,106,225,5,2,9,49,128,8,2,5,47,146,2
"3620580","362058001949","3","1",90,1490,0,1490,NA,1811,622,519,401,114,93,1069,551,95,1811,20.1,"1",1,23,365,197,36,1,34,301,155,28,1,20,230,131,19,0,11,71,23,9
