"LEAID","NCESSCH","TYPE01","STATUS01","FTE01","LEVEL01","FRELCH01","REDLCH01","TOTFRL01","MIGRNT01","MEMBER01","G0901","G1001","G1101","G1201","ASIAN01","HISP01","BLACK01","WHITE01","TOTETH01","PUPTCH01","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0634410","063441005643","1","1",120.8,"3",333,183,516,2,2563,622,664,668,609,1870,143,59,455,2534,21.2,"1",2,455,24,9,109,2,500,25,8,124,0,494,30,20,123,3,421,64,22,99
"0634410","063441005650","1","1",57.3,"3",428,53,481,35,865,206,288,247,124,218,408,200,32,863,15.1,"1",1,45,90,62,6,1,58,148,74,7,3,73,123,40,8,0,42,47,24,11
"0634410","063441005653","4","1",16,"3",131,6,137,1,274,6,61,113,94,89,56,108,19,274,17.1,"1",0,0,3,2,1,0,24,12,17,8,0,36,18,54,5,2,29,23,35,5
"0634410","063441007350","1","1",32,"3",204,32,236,3,528,212,192,61,63,78,359,50,37,524,16.5,"1",0,23,161,15,11,0,26,131,20,15,0,6,41,7,6,0,23,26,8,5
"0634410","063441007352","1","1",13,"3",287,36,323,44,326,184,87,55,0,203,112,0,8,323,25.1,"1",0,114,65,0,3,0,51,31,0,4,0,38,16,0,1,0,0,0,0,0
"0634410","063441007354","1","1",20.8,"3",58,30,88,0,346,117,94,74,61,97,92,79,63,335,16.6,"1",2,39,30,26,15,0,27,24,21,19,0,17,18,20,17,2,14,20,12,12
"0634410","063441007721","1","1",11,"3",0,0,0,0,52,1,10,14,27,6,15,24,7,52,4.7,"1",0,0,1,0,0,0,0,2,6,2,0,4,4,3,3,0,2,8,15,2
"0634410","063441007725","1","1",26.8,"3",42,10,52,0,386,112,106,94,74,99,80,48,149,379,14.4,"1",0,32,27,14,36,1,22,15,19,47,1,24,19,10,38,1,21,19,5,28
"0634410","063441007840","4","1",12.6,"3",81,0,81,0,321,34,75,97,115,103,116,49,47,319,25.5,"1",0,11,10,7,4,1,23,25,13,13,2,28,41,14,12,1,41,40,15,18
"0634410","063441007844","4","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0634410","063441007845","1","1",33.6,"3",203,132,335,0,653,171,164,179,139,402,85,109,50,648,19.4,"1",1,103,23,32,9,0,112,17,25,8,0,101,29,32,17,1,86,16,20,16
"0634410","063441008189","1","1",84.3,"3",392,44,436,5,1557,482,386,376,313,816,409,285,39,1552,18.5,"1",2,229,132,105,9,0,210,109,58,9,1,196,108,61,10,0,181,60,61,11
"0634410","063441009625","1","1",26,"3",154,20,174,8,470,119,127,115,109,146,162,119,35,468,18.1,"1",3,26,46,35,9,1,41,35,36,12,2,34,39,33,7,0,45,42,15,7
"0803360","080336000305","1","1",86.1,"3",907,170,1077,18,1497,672,373,243,209,101,1193,44,145,1497,17.4,"1",4,23,576,18,51,7,26,296,9,35,2,31,173,11,26,1,21,148,6,33
"0803360","080336000322","3","1",33,"3",53,17,70,0,192,34,44,47,43,1,89,22,75,192,5.8,"1",2,0,12,6,14,2,0,25,6,11,0,0,16,4,27,0,1,20,4,18
"0803360","080336000338","1","1",106,"3",402,94,496,1,1825,554,527,382,362,50,202,725,815,1825,17.2,"1",17,9,82,240,206,12,14,53,196,252,2,15,30,155,180,2,12,37,134,177
"0803360","080336000345","4","1",30,"3",77,7,84,6,577,0,0,505,72,2,299,159,107,577,19.2,"1",0,0,0,0,0,0,0,0,0,0,10,2,284,132,77,0,0,15,27,30
"0803360","080336000352","1","1",94,"3",492,132,624,4,1778,627,450,360,341,112,247,797,608,1778,18.9,"1",6,22,98,345,156,4,32,58,206,150,1,28,45,150,136,3,30,46,96,166
"0803360","080336000367","1","1",86,"3",366,207,573,2,1616,526,434,351,305,123,811,44,616,1616,18.8,"1",5,28,277,18,198,8,33,227,8,158,7,22,170,11,141,2,40,137,7,119
"0803360","080336000376","1","1",71.4,"3",811,126,937,34,1159,476,302,193,188,2,738,383,29,1159,16.2,"1",2,0,322,142,10,1,1,196,97,7,1,0,111,75,6,3,1,109,69,6
"0803360","080336000380","4","1",32,"3",83,19,102,0,189,63,63,47,16,4,93,69,20,189,5.9,"1",1,1,34,21,6,1,2,27,26,7,0,1,22,18,6,1,0,10,4,1
"0803360","080336000389","1","1",88.4,"3",922,220,1142,33,1628,733,373,309,213,11,1384,29,187,1628,18.4,"1",6,3,635,19,70,5,3,323,1,41,4,2,252,7,44,2,3,174,2,32
"0803360","080336000408","1","1",94.5,"3",569,123,692,13,1453,516,385,285,267,119,545,265,515,1453,15.4,"1",2,38,224,88,164,5,31,143,81,125,2,21,94,44,124,0,29,84,52,102
"0803360","080336000417","1","1",62,"3",183,68,251,0,1055,401,241,220,193,36,134,306,571,1055,17,"1",3,16,58,137,187,1,8,30,64,138,4,3,25,62,126,0,9,21,43,120
"0803360","080336000423","1","1",100,"3",1073,195,1268,54,1693,748,402,297,246,30,1461,48,135,1693,16.9,"1",7,11,665,23,42,6,6,346,11,33,4,6,248,10,29,2,7,202,4,31
"0803360","080336001245","1","1",16.8,"4",72,35,107,0,285,69,57,27,12,2,68,53,145,285,17,"1",5,0,12,16,36,1,1,15,3,37,3,0,6,4,14,0,0,2,2,8
"0803360","080336001338","1","1",68.5,"3",555,160,715,14,1271,535,289,246,201,41,382,734,108,1271,18.6,"1",2,14,205,273,41,2,12,87,165,23,1,4,59,159,23,1,11,31,137,21
"0803360","080336001521","4","1",9,"4",37,17,54,0,69,28,12,7,2,1,32,29,7,69,7.7,"1",0,1,11,11,5,0,0,5,6,1,0,0,3,4,0,0,0,1,1,0
"0803360","080336001525","1","1",3.3,"1",12,1,13,0,47,NA,NA,NA,NA,0,23,17,7,47,14.2,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0803360","080336001574","1","1",37.8,"4",60,18,78,3,629,117,91,94,76,20,83,66,456,629,16.6,"1",2,3,10,10,92,0,3,19,13,56,1,5,9,6,73,0,1,12,8,55
"0803360","080336001575","4","1",6,"4",97,10,107,0,136,32,29,42,25,1,96,24,14,136,22.7,"1",0,0,22,7,3,0,0,20,6,3,1,1,28,7,5,0,0,18,4,3
"0803360","080336001633","4","1",0,"3",16,3,19,0,136,22,21,62,31,2,70,41,23,136,NA,"1",0,1,14,4,3,0,0,13,5,3,0,1,28,19,14,0,0,15,13,3
